request	verdict	reason	bundle
triage-sh-20260817-092641	SUPERSEDED	dead_store_elim (redirect-target reads); core 1e123dd 12:40 fixed the broken estree reference (DSE dropped the redirect-target store); sh renders+matches today	dead_store_elim
triage-rust-20260817-092641	SUPERSEDED	dead_store_elim (redirect-target reads) + rust Redirect/exec arms in core 1e123dd; rust executes to hi/more == corrected oracle	dead_store_elim
triage-rust-20260816-234940	NOT-A-TRANSFORM	rust renderer t79 codegen (i++ String round-trip 59s -O0 > 30s harness timeout); fixed by the rust worker in cfd5c4b (straight-to-i64); no shared transform	-
triage-rust-20260817-115757	DUPLICATE	re-escalation of the same go-sh/t79_go_stmt.go/rust pair; merge into triage-rust-20260816-234940	-
triage-sh-20260817-092641	## SUPERSEDED: dead_store_elim (redirect-target reads)	Root cause was a canonical core transform bug, not the sh renderer:	
triage-rust-20260817-115757	## DUPLICATE: triage-rust-20260816-234940	Identical pair — same frontend (go-sh), same example	
triage-rust-20260817-092641	## SUPERSEDED: dead_store_elim (redirect-target reads)	Same cluster as the sh request: the broken estree reference (DSE	
triage-rust-20260816-234940	## NOT-A-TRANSFORM: rust backend renderer (t79 codegen, cfd5c4b)	The pair fails on RENDERER emission, not on a shared A1/IR shape:	
estree-20260813-182431-inline-pure-fns	SUPERSEDED	inline-pure-fns landed in the shared core (src/transforms/inline_pure_fns.rs; offer accepted e242948, fixed da233c3, build+invariants green; canonical record done/inline-pure-fns.rs); estree worker's registration in all() + renderer fnCall hooks are its own gate	inline-pure-fns
estree-20260813-182432-split-elide-typed-args	NOT-A-TRANSFORM	estree.rs emission-time word-split elision (expr_known_nospace on the fnCall/exec arg path); consumes the shared A1 var_types verdicts; no IR change, no shared analysis	-
estree-20260813-182433-lastexit-test-liveness	SUPERSEDED	compute_test_cond_deadness/TEST_COND_DEAD landed in shir.rs (941/1023) and consumed by the If/While/DoWhile [ ] emission (16698/17010/17243) — bare boolean when the status write is unread	lastexit-test-liveness
estree-20260813-182434-const-fold-arith	SUPERSEDED	shir::const_fold_arith (shir.rs:4945) wired at A1 ingress (13734) + the A1-optimizer pass (optimize.rs:1724); the $(( )) arithEval-elision emission residue is estree renderer-side (native-arith landed separately)	const_fold_arith
estree-20260813-182431-inline-pure-fns	## SUPERSEDED: inline-pure-fns	The request's core ask — the IR-level inline pass (fn(&mut Vec<IrStmt>) -> bool) — landed in the shared core as src/transforms/inline_pure_fns.rs (marketplace offer accepted sh2perl e242948 "contract op + transform (build + invariants green)", fixed da233c3; canonical workspace record core-requests/transforms/done/inline-pure-fns.rs). The estree worker's remaining steps — registering it in transforms::all() + the renderer-side fnCall hooks — are its own acceptance gate, not a new bundle.	
estree-20260813-182432-split-elide-typed-args	## NOT-A-TRANSFORM: estree worker (estree.rs fnCall/exec argument lowering)	Renderer-specific emission — estree.rs decides at emit time, per the shared expr_known_nospace verdict, whether to skip the String(x).split(/\s+/).filter(...) word-split wrapper on fnCall/exec args. It consumes the already-shared A1 var_types verdicts (122 Int/116 Str in the mimecroft contract); no IR mutation, no new op, no shared analysis — nothing to bundle (the rubric's split-elide example verbatim).	
estree-20260813-182433-lastexit-test-liveness	## SUPERSEDED: compute_test_cond_deadness / TEST_COND_DEAD (the Plan 4 test-condition liveness)	Both minimal-core-change points landed in the core: shir.rs compute_test_cond_deadness (line 941) is populated by compute_lastexit_deadness (1023) and consumed by every [ ]-condition emission — If (16698), While (17010), DoWhile (17243) — emitting the bare boolean condition (no _g/lastExit seq) when the status write is provably unread; live sites keep the byte-identical statused form.	
estree-20260813-182434-const-fold-arith	## SUPERSEDED: shir::const_fold_arith (the const-pool arith fold)	The shared fold landed in the core: shir.rs:4945 const_fold_arith — single-site Const verdicts seed a pool, pure-int Arith subtrees fold to literals (Arith → Int), ±2^53 envelope, --true64 skip — wired at the A1-ingress points every renderer consumes (shir.rs:13734 "Const-pool arith fold (core request estree-20260813-182434-const-fold-arith)" + the A1-optimizer pass shir_passes/optimize.rs:1724). The residual $(( )) arithEval-elision emission is renderer-side (the A1-path native arith emission LIFTED_NUMERIC/native_arith_text landed separately, done/estree-20260813-212042-native-arith-debashcl.md) — like 182432, not a bundle.	
