Fri Jul 24 19:02:23 2026	check_sh_files fix regressed (0->3)
Sat Jul 25 07:19:22 2026	check_sh_files fix regressed (1->17)
Sat Jul 25 07:54:03 2026	Regenerating sh2perl cached outputs and translation files to fix check_sh_files regressed the parser (can't parse nested command substitution) and broke pipeline codegen (exit/stdout mismatch), going from 0→2 test failures. (regression: 0->2)
Sat Jul 25 10:18:40 2026	check_sh_files fix regressed (125->280)
Sat Jul 25 10:47:32 2026	Lexer DQS-recovery rewrite fixed some truncation edge cases but reordered emitted Perl declarations and broke pipeline codegen, causing 5 test regressions. (regression: 0->5)
Sat Jul 25 18:49:27 2026	check_sh_files fix regressed (70->97)
Sat Jul 25 23:38:42 2026	check_sh_files fix regressed (63->68)
Sun Jul 26 00:04:47 2026	The code attempted to disambiguate `((` arithmetic evaluation from nested subshells `( (cmd) )` by adding a lookahead scan and mutating the token stream, but the fragile token-insertion and imperfect lookahead misclassify legitimate arithmetic expressions as subshells, causing 3 test regressions. (regression: 0->3)
Sun Jul 26 02:01:54 2026	Changes attempted lexer refactoring (removing test-operator tokens), variable-concatenation, inline redirects, and process-substitution support, but caused 37 test regressions across redirects, heredocs, grep, and parser features due to incomplete handling of the cascading effects. (regression: 0->37)
Sun Jul 26 09:53:30 2026	Parser changes to words.rs/commands.rs aimed to improve `$`/variable handling but caused a regression (0→1 test failure) in `063_09_complex_function_parameter_handling.sh` due to altered parsing behavior. (regression: 0->1)
Sun Jul 26 11:10:15 2026	Parser changes adding $[...] arithmetic and refactoring shopt/parameter-expansion parsing broke downstream tests (regression from all-pass to failing after 063_12_complex_eval); the core parser modifications need more careful testing and edge-case handling before they can be merged. (regression: 0->1)
Sun Jul 26 21:57:21 2026	check_sh_files fix regressed (21->22)
Sun Jul 26 22:28:25 2026	Parser refactoring removed standalone-assignment detection in favor of parse_pipeline, but broke array and complex construct handling, causing 10 test regressions (regression: 0->10)
Mon Jul 27 04:14:49 2026	check_sh_files fix regressed (13->46)
Mon Jul 27 09:44:43 2026	check_sh_files fix regressed (41->115)
Mon Jul 27 17:17:06 2026	check_sh_files fix regressed (12->18)
Mon Jul 27 20:57:00 2026	check_sh_files fix regressed (13->14)
Tue Jul 28 14:42:59 2026	check_sh_files fix regressed (5->17)
Wed Jul 29 07:04:40 2026	check_sh_files fix regressed (475->476)
Wed Jul 29 22:41:20 2026	Echo/heredoc `$ENV{}` conversion fails to exclude special variables (`$$`, `$0`, etc.) and mishandles parameter expansion operators (`:-`, `:=`, etc.) (regression: 162->168)
Wed Jul 29 23:11:28 2026	Attempt to make echo/test-expression/expansion generators use `$ENV{var}` consistently for undeclared uppercase vars, but the changes break existing working code paths and cause a 162→169 regression (worse than the previous stashed attempt at 162→168); the special-variable exclusion (`@`, `*`, `#`) and expansion-operator handling still need refinement. (regression: 162->169)
Wed Jul 29 23:42:03 2026	`$ENV{var}` conversion for undeclared vars fixes some cases but breaks 5 previously-working tests while failing to actually fix the target tests, with incomplete operator handling in heredoc preprocessing. (regression: 162->167)
Thu Jul 30 00:22:29 2026	Third attempt at `$ENV{var}` conversion for undeclared uppercase vars breaks 5 working tests (162→167) without fixing target tests; incomplete heredoc operator handling needs refinement before retrying. (regression: 162->167)
Thu Jul 30 00:51:10 2026	stash@{0} refactors variable references into `var_ref()` to fix `$ENV{var}` / `$var` inconsistency in echo handlers, but the broad refactoring breaks 9 tests (net +5 failures) while a more targeted fix already exists in HEAD for the expansions side (regression: 162->167)
Thu Jul 30 15:55:28 2026	Non-IR changes in command_dispatcher.rs and control_flow.rs break 2 previously-passing tests (not-negation.sh, parse-multi-command-while-condition.sh) without fixing their targets; ir.rs change is IR infra but alone doesn't fix its targets either; overall regression 90→91. (regression: 90->91)
Thu Jul 30 17:11:54 2026	Negation handler and unconditional `$CHILD_ERROR = 0` injection broke 4 passing tests by altering return-value semantics and masking real errors; a more targeted per-command fix is needed. (regression: 90->91)
Thu Jul 30 17:41:53 2026	Non-IR negation/$CHILD_ERROR injection/while-loop changes re-attempt previously stashed approaches that broke 4 passing tests by altering return-value semantics and masking real errors; a more targeted per-command fix is needed. (regression: 90->91)
Thu Jul 30 17:59:48 2026	Non-IR negation/`$CHILD_ERROR`/while-loop changes re-attempt previously stashed approaches that broke 4 passing tests by altering return-value semantics and masking real errors; a more targeted per-command fix is needed. (regression: 90->93)
Thu Jul 30 18:29:23 2026	Non-IR negation/`$CHILD_ERROR`/while-loop changes re-attempt previously stashed approaches that broke passing tests by altering return-value semantics and masking real errors; a more targeted per-command fix is needed. (regression: 90->91)
Thu Jul 30 20:04:31 2026	Non-IR negation and echo `$CHILD_ERROR` injection altered return-value semantics and masked real errors, regressing from 90 to 93 failures; this same approach has been stashed multiple times previously as noted in the stash history, and a more targeted per-command fix is needed. (regression: 90->93)
Fri Jul 31 04:16:55 2026	Non-IR negation/echo/while-loop `$CHILD_ERROR` injection (no IR files touched) re-attempts a previously stashed approach that breaks 6 passing tests by masking real errors and altering return-value semantics, regressing 90→93 failing. (regression: 90->93)
