example	c	go	sh	python	rust	zig	java	estree
000__03_file_manipulation_commands.sh	EQUIV	PASS	EQUIV	STUB	STUB	STUB	STUB	PASS
000__04e_file_manipulation.sh	EQUIV	PASS	EQUIV	STUB	STUB	STUB	STUB	PASS
000__04h_complex_examples.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
000__07_find_path_commands.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	FAIL
012_process_substitution.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	FAIL
016_grep_basic.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	FAIL
017_grep_context.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
018_grep_params.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	FAIL
019_grep_regex.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
031_control_flow_loops.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
039_process_substitution_here.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	FAIL
040_process_substitution_comm.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
041_process_substitution_mapfile.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
042_process_substitution_advanced.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
047_for_arithematic.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
050_test_ls_star_dot_sh.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
051_primes.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
054_fibonacci.sh	EQUIV	PASS	EQUIV	STUB	STUB	STUB	STUB	PASS
055_factorize.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
057_case.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
058_advanced_bash_idioms.sh	STUB	EQUIV	EQUIV	STUB	STUB	STUB	STUB	FAIL
061_test_local_names_preserved.sh	EQUIV	PASS	EQUIV	STUB	STUB	STUB	STUB	PASS
062_14_complex_array_operations.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
062_hard_to_lex.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	FAIL
063_01_deeply_nested_arithmetic.sh	PASS	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
063_03_nested_command_substitutions.sh	PASS	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
063_04_complex_parameter_expansion.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
063_05_heredoc_with_complex_content.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
063_09_complex_function_parameter_handling.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
063_11_complex_while_loop.sh	STUB	STUB	PASS	STUB	STUB	STUB	STUB	PASS
063_12_complex_eval.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
063_14_complex_redirects.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
063_19_complex_function_call.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	EQUIV	PASS
063_hard_to_parse.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
064_01_complex_nested_subshells.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
064_02_nested_brace_expansions.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
064_03_complex_parameter_expansion.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
064_07_complex_array_operations.sh	EQUIV	STUB	PASS	STUB	STUB	STUB	STUB	PASS
064_08_heredocs_with_variable_interpolation.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
064_09_process_substitution_pipeline.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
064_11_complex_test_expressions.sh	STUB	PASS	EQUIV	STUB	STUB	STUB	STUB	PASS
064_14_nested_command_substitution_arithmetic.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
064_17_complex_while_loop_nested_conditionals.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
064_18_array_slicing_manipulation.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
064_19_complex_pattern_matching_extended_globs.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
064_20_nested_subshells_environment_variables.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
064_21_complex_string_interpolation_multiple_variables.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
064_22_function_returning_complex_data_structures.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
064_23_complex_error_handling_traps.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
064_hard_to_generate.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
065_yes_head_while.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
070_cmp_basic.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
070_gnuisms_thorough.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
071_while_ifs_read.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
075_eval_complex.sh	EQUIV	STUB	PASS	STUB	STUB	STUB	EQUIV	PASS
076_brace_expansion_mixed.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
079_heredoc_interpolation.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
083_process_sub_missing_files.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
087_function_cmd_sub.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
088_while_read_ifs_sort.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
091_while_pipe_var.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
096_head_procsub.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
101_pipeline_failure_grep.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	FAIL
arith-postfix-status.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
arithmetic-bracket-old-syntax.sh	EQUIV	STUB	PASS	STUB	STUB	STUB	STUB	PASS
array-assignment-variable-subscript.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
at-in-test.sh	PASS	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
at-var-default.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
bc-native-capture.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
bench-increment.sh	EQUIV	PASS	EQUIV	STUB	STUB	STUB	STUB	PASS
cat-heredoc-pipeline.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
checkqx-qx-var-mv.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	EQUIV	PASS
complex-command-substitution.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
declare-let-keyword.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
dollar-at-default-quoted.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
dollar-at-with-default.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
dollar-minus.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
dollar-positional-arithmetic.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
double-bracket-pipeline.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
double-paren-subshell.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
echo-with-escaped-backtick-and-quotes.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
echo-with-escaped-backtick.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
heredoc-binary-data.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
heredoc-redirects-same-line.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
heredoc-unclosed.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
heredoc-with-redirect-same-line.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
id-cmdsub.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
keyword-in-arg.sh	EQUIV	STUB	PASS	STUB	STUB	STUB	STUB	PASS
let-builtin.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
let-plusassign.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
lexer-char-minus.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
nested-subshell-paren.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
param-expand-default-operator.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	EQUIV	PASS
param-expand-hash-sameline.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
param-expand-hash.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
param-expand-question.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-arithmetic-extra-paren.sh	PASS	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-arithmetic-nested-array.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-array-plusassign.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-at-slice-param.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-at-slice.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-bracket-subshell-pipe.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-db-status-fmt.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-dollar-at-default.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-dollar-brace-hash-hash.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-dollar-in-arithmetic.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-dollar-paren-pipe.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-dollar-single-quote.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	EQUIV	PASS
parse-dollars-in-string.sh	PASS	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-double-semicolon.sh	EQUIV	EQUIV	EQUIV	STUB	EQUIV	EQUIV	EQUIV	PASS
parse-error-doublesemicolon.sh	EQUIV	EQUIV	EQUIV	STUB	EQUIV	EQUIV	EQUIV	PASS
parse-eval-multiline.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-heredoc-dollar-paren.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-heredoc-eof-unexpected.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-heredoc-or-dangling.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-heredoc-paren.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-heredoc-redirect-chain.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
